id,lith,goal
358,ARGILLIT,0
359,ARGILLIT,0
360,ARGILLIT,0
361,ARGILLIT,0
362,ARGILLIT,0
363,ARGILLIT,0
364,ARGILLIT,0
365,ARGILLIT,0
366,ARGILLIT,0
367,ARGILLIT,0
368,ARGILLIT,0
369,ARGILLIT,0
370,ARGILLIT,0
371,ARGILLIT,0
372,ARGILLIT,0
373,ARGILLIT,0
374,ARGILLIT,0
375,ARGILLIT,0
376,ARGILLIT,0
377,ARGILLIT,0
378,ARGILLIT,0
379,ARGILLIT,0
380,ARGILLIT,0
381,ARGILLIT,0
382,ARGILLIT,0
383,ARGILLIT,0
384,ARGILLIT,0
385,ARGILLIT,0
386,ARGILLIT,0
387,ARGILLIT,0
388,ARGILLIT,0
389,ARGILLIT,0
390,ARGILLIT,0
391,ARGILLIT,0
392,ARGILLIT,0
393,ARGILLIT,0
394,ARGILLIT,0
395,ARGILLIT,0
396,ARGILLIT,0
397,ARGILLIT,0
398,ARGILLIT,0
399,ARGILLIT,0
400,ARGILLIT,0
401,ARGILLIT,0
402,ARGILLIT,0
403,ARGILLIT,0
404,ARGILLIT,0
405,ARGILLIT,0
406,ARGILLIT,0
407,ARGILLIT,0
408,ARGILLIT,0
409,ARGILLIT,0
410,ARGILLIT,0
411,ARGILLIT,0
412,ARGILLIT,0
413,ARGILLIT,0
414,ARGILLIT,0
415,ARGILLIT,0
416,ARGILLIT,0
417,ARGILLIT,0
418,ARGILLIT,0
419,ARGILLIT,0
420,ARGILLIT,0
421,ARGILLIT,0
422,ARGILLIT,0
423,ARGILLIT,0
424,ARGILLIT,0
425,ARGILLIT,0
426,ARGILLIT,0
427,ARGILLIT,0
428,ARGILLIT,0
429,ARGILLIT,0
430,ARGILLIT,0
431,ARGILLIT,0
432,ARGILLIT,0
433,ARGILLIT,0
434,ARGILLIT,0
435,ARGILLIT,0
436,ARGILLIT,0
437,ARGILLIT,0
438,ARGILLIT,0
439,ARGILLIT,0
440,ARGILLIT,0
441,ARGILLIT,0
442,ARGILLIT,0
443,ARGILLIT,0
444,ARGILLIT,0
445,ARGILLIT,0
446,ARGILLIT,0
447,ARGILLIT,0
448,ARGILLIT,0
449,ARGILLIT,0
450,ARGILLIT,0
451,ARGILLIT,0
452,ARGILLIT,0
453,ARGILLIT,0
454,ARGILLIT,0
455,ARGILLIT,0
456,ARGILLIT,0
457,ARGILLIT,0
458,ARGILLIT,0
459,ARGILLIT,0
460,ARGILLIT,0
461,ARGILLIT,0
462,ARGILLIT,0
463,ARGILLIT,0
464,ARGILLIT,0
465,ARGILLIT,0
466,ARGILLIT,0
467,ARGILLIT,0
468,ARGILLIT,0
469,ARGILLIT,0
470,ARGILLIT,0
471,ARGILLIT,0
472,ARGILLIT,0
473,ARGILLIT,0
474,ARGILLIT,0
475,ARGILLIT,0
476,ARGILLIT,0
477,ARGILLIT,0
478,ARGILLIT,0
479,ARGILLIT,0
480,ARGILLIT,0
481,ARGILLIT,0
482,ARGILLIT,0
483,ARGILLIT,0
484,ARGILLIT,0
485,ARGILLIT,0
486,ARGILLIT,0
487,ARGILLIT,0
488,ARGILLIT,0
489,ARGILLIT,0
490,ARGILLIT,0
491,ARGILLIT,0
492,ARGILLIT,0
493,ARGILLIT,0
494,ARGILLIT,0
495,ARGILLIT,0
496,ARGILLIT,0
497,ARGILLIT,0
498,ARGILLIT,0
499,ARGILLIT,0
500,ARGILLIT,0
501,ARGILLIT,0
502,ARGILLIT,0
503,ARGILLIT,0
504,ARGILLIT,0
505,ARGILLIT,0
506,ARGILLIT,0
507,ARGILLIT,0
508,ARGILLIT,0
509,ARGILLIT,0
510,ARGILLIT,0
511,ARGILLIT,0
512,ARGILLIT,0
513,ARGILLIT,0
514,ARGILLIT,0
515,ARGILLIT,0
516,ARGILLIT,0
517,ARGILLIT,0
518,ARGILLIT,0
519,ARGILLIT,0
520,ARGILLIT,0
521,ARGILLIT,0
522,ARGILLIT,0
523,ARGILLIT,0
524,ARGILLIT,0
525,ARGILLIT,0
526,ARGILLIT,0
527,ARGILLIT,0
528,ARGILLIT,0
529,ARGILLIT,0
530,ARGILLIT,0
531,ARGILLIT,0
532,ARGILLIT,0
533,ARGILLIT,0
534,ARGILLIT,0
535,ARGILLIT,0
536,ARGILLIT,0
537,ARGILLIT,0
538,ARGILLIT,0
539,ARGILLIT,0
540,ARGILLIT,0
541,ARGILLIT,0
542,ARGILLIT,0
543,ARGILLIT,0
544,ARGILLIT,0
545,ARGILLIT,0
546,ARGILLIT,0
547,ARGILLIT,0
548,ARGILLIT,0
549,ARGILLIT,0
550,ARGILLIT,0
551,ARGILLIT,0
552,ARGILLIT,0
553,ARGILLIT,0
554,ARGILLIT,0
555,ARGILLIT,0
556,ARGILLIT,0
557,ARGILLIT,0
558,ARGILLIT,0
559,ARGILLIT,0
560,ARGILLIT,0
561,ARGILLIT,0
562,ARGILLIT,0
563,ARGILLIT,0
564,ARGILLIT,0
565,ARGILLIT,0
566,ARGILLIT,0
567,ARGILLIT,0
568,ARGILLIT,0
569,ARGILLIT,0
570,ARGILLIT,0
571,ARGILLIT,0
572,ARGILLIT,0
573,ARGILLIT,0
574,ARGILLIT,0
575,ARGILLIT,0
576,ARGILLIT,0
577,ARGILLIT,0
578,ARGILLIT,0
579,ARGILLIT,0
580,ARGILLIT,0
581,ARGILLIT,0
582,ARGILLIT,0
583,ARGILLIT,0
584,ARGILLIT,0
585,ARGILLIT,0
586,ARGILLIT,0
587,ARGILLIT,0
588,ARGILLIT,0
589,ARGILLIT,0
590,ARGILLIT,0
591,ARGILLIT,0
592,ARGILLIT,0
593,ARGILLIT,0
594,ARGILLIT,0
595,ARGILLIT,0
596,ARGILLIT,0
597,ARGILLIT,0
598,ARGILLIT,0
599,ARGILLIT,0
600,ARGILLIT,0
601,ARGILLIT,0
602,ARGILLIT,0
603,ARGILLIT,0
604,ARGILLIT,0
605,ARGILLIT,0
606,ARGILLIT,0
607,ARGILLIT,0
608,ARGILLIT,0
609,ARGILLIT,0
610,ARGILLIT,0
611,ARGILLIT,0
612,ARGILLIT,0
613,ARGILLIT,0
614,ARGILLIT,0
615,ARGILLIT,0
616,ARGILLIT,0
617,ARGILLIT,0
618,ARGILLIT,0
619,ARGILLIT,0
620,ARGILLIT,0
621,ARGILLIT,0
622,ARGILLIT,0
623,ARGILLIT,0
624,ARGILLIT,0
625,ARGILLIT,0
626,ARGILLIT,0
627,ARGILLIT,0
628,ARGILLIT,0
629,ARGILLIT,0
630,ARGILLIT,0
631,ARGILLIT,0
632,ARGILLIT,0
633,ARGILLIT,0
634,ARGILLIT,0
635,ARGILLIT,0
636,ARGILLIT,0
637,ARGILLIT,0
638,ARGILLIT,0
639,ARGILLIT,0
640,ARGILLIT,0
641,ARGILLIT,0
642,ARGILLIT,0
643,ARGILLIT,0
644,ARGILLIT,0
645,ARGILLIT,0
646,ARGILLIT,0
647,ARGILLIT,0
648,ARGILLIT,0
649,ARGILLIT,0
650,ARGILLIT,0
651,ARGILLIT,0
652,ARGILLIT,0
653,ARGILLIT,0
654,ARGILLIT,0
655,ARGILLIT,0
656,ARGILLIT,0
657,ARGILLIT,0
658,ARGILLIT,0
659,ARGILLIT,0
660,ARGILLIT,0
661,ARGILLIT,0
662,ARGILLIT,0
663,ARGILLIT,0
664,ARGILLIT,0
665,ARGILLIT,0
666,ARGILLIT,0
667,ARGILLIT,0
668,ARGILLIT,0
669,ARGILLIT,0
670,ARGILLIT,0
671,ARGILLIT,0
672,ARGILLIT,0
673,ARGILLIT,0
674,ARGILLIT,0
675,ARGILLIT,0
676,ARGILLIT,0
677,ARGILLIT,0
678,ARGILLIT,0
679,ARGILLIT,0
680,ARGILLIT,0
681,ARGILLIT,0
682,ARGILLIT,0
683,ARGILLIT,0
684,ARGILLIT,0
685,ARGILLIT,0
686,ARGILLIT,0
687,ARGILLIT,0
688,ARGILLIT,0
689,ARGILLIT,0
690,ARGILLIT,0
691,ARGILLIT,0
692,ARGILLIT,0
693,ARGILLIT,0
694,ARGILLIT,0
695,ARGILLIT,0
696,ARGILLIT,0
697,ARGILLIT,0
698,ARGILLIT,0
699,ARGILLIT,0
700,ARGILLIT,0
701,ARGILLIT,0
702,ARGILLIT,0
703,ARGILLIT,0
704,ARGILLIT,0
705,ARGILLIT,0
706,ARGILLIT,0
707,ARGILLIT,0
708,ARGILLIT,0
709,ARGILLIT,0
710,ARGILLIT,0
711,ARGILLIT,0
712,ARGILLIT,0
713,ARGILLIT,0
714,ARGILLIT,0
715,ARGILLIT,0
716,ARGILLIT,0
717,ARGILLIT,0
718,ARGILLIT,0
719,ARGILLIT,0
720,ARGILLIT,0
721,ARGILLIT,0
722,ARGILLIT,0
723,ARGILLIT,0
724,ARGILLIT,0
725,ARGILLIT,0
726,ARGILLIT,0
727,ARGILLIT,0
728,ARGILLIT,0
729,ALEVROLIT,0
730,ALEVROLIT,0
731,DENSE,0
732,DENSE,0
733,DENSE,0
734,DENSE,0
735,ARGILLIT,0
736,DENSE,0
737,DENSE,0
738,DENSE,0
739,ARGILLIT,0
740,ARGILLIT,0
741,ARGILLIT,0
742,ARGILLIT,0
743,ARGILLIT,0
744,ALEVROLIT,0
745,ALEVROLIT,0
746,ALEVROLIT,0
747,ALEVROLIT,0
748,ALEVROLIT,0
749,ALEVROLIT,0
750,ALEVROLIT,0
751,ALEVROLIT,0
752,ALEVROLIT,0
753,ALEVROLIT,0
754,ALEVROLIT,0
755,ALEVROLIT,0
756,ARGILLIT,0
757,ARGILLIT,0
758,ARGILLIT,0
759,ARGILLIT,0
760,ARGILLIT,0
761,ARGILLIT,0
762,ARGILLIT,0
763,ARGILLIT,0
764,ARGILLIT,0
765,ARGILLIT,0
766,ARGILLIT,0
767,ARGILLIT,0
768,ARGILLIT,0
769,ARGILLIT,0
770,ARGILLIT,0
771,ARGILLIT,0
772,ARGILLIT,0
773,ALEVROLIT,0
774,ARGILLIT,0
775,ARGILLIT,0
776,ARGILLIT,0
777,ARGILLIT,0
778,ARGILLIT,0
779,ARGILLIT,0
780,ARGILLIT,0
781,ARGILLIT,0
782,ARGILLIT,0
783,ARGILLIT,0
784,ARGILLIT,0
785,ARGILLIT,0
786,ARGILLIT,0
787,ARGILLIT,0
788,ARGILLIT,0
789,ARGILLIT,0
790,ARGILLIT,0
791,ARGILLIT,0
792,ARGILLIT,0
793,ARGILLIT,0
794,ARGILLIT,0
795,ARGILLIT,0
796,ARGILLIT,0
797,DENSE,0
798,DENSE,0
799,ARGILLIT,0
800,ARGILLIT,0
801,ARGILLIT,0
802,ARGILLIT,0
803,ARGILLIT,0
804,ARGILLIT,0
805,ARGILLIT,0
806,ARGILLIT,0
807,ARGILLIT,0
808,ARGILLIT,0
809,ARGILLIT,0
810,ARGILLIT,0
811,ARGILLIT,0
812,ARGILLIT,0
813,ARGILLIT,0
814,ARGILLIT,0
815,DENSE,0
816,ARGILLIT,0
817,ARGILLIT,0
818,ARGILLIT,0
819,ARGILLIT,0
820,ARGILLIT,0
821,ARGILLIT,0
822,ARGILLIT,0
823,ARGILLIT,0
824,ARGILLIT,0
825,ALEVROLIT,0
826,ALEVROLIT,0
827,ALEVROLIT,0
828,ARGILLIT,0
829,ARGILLIT,0
830,ARGILLIT,0
831,ARGILLIT,0
832,ARGILLIT,0
833,ARGILLIT,0
834,ARGILLIT,0
835,ARGILLIT,0
836,ALEVROLIT,0
837,DENSE,0
838,ALEVROLIT,0
839,ARGILLIT,0
840,SAND,1
841,ARGILLIT,0
842,ARGILLIT,0
843,ARGILLIT,0
844,ARGILLIT,0
845,ARGILLIT,0
846,ARGILLIT,0
847,ARGILLIT,0
848,ARGILLIT,0
849,ARGILLIT,0
850,ARGILLIT,0
851,ARGILLIT,0
852,ARGILLIT,0
853,ARGILLIT,0
854,ARGILLIT,0
855,ARGILLIT,0
856,ARGILLIT,0
857,ARGILLIT,0
858,ARGILLIT,0
859,ARGILLIT,0
860,ARGILLIT,0
861,ARGILLIT,0
862,ARGILLIT,0
863,ARGILLIT,0
864,ARGILLIT,0
865,ARGILLIT,0
866,ARGILLIT,0
867,ARGILLIT,0
868,ARGILLIT,0
869,ARGILLIT,0
870,ARGILLIT,0
871,ARGILLIT,0
872,ARGILLIT,0
873,ARGILLIT,0
874,ARGILLIT,0
875,ARGILLIT,0
876,ARGILLIT,0
877,ARGILLIT,0
878,ARGILLIT,0
879,ARGILLIT,0
880,ARGILLIT,0
881,ARGILLIT,0
882,ARGILLIT,0
883,ARGILLIT,0
884,ARGILLIT,0
885,DENSE,0
886,DENSE,0
887,DENSE,0
888,DENSE,0
889,DENSE,0
890,DENSE,0
891,DENSE,0
892,DENSE,0
893,DENSE,0
894,DENSE,0
895,DENSE,0
896,DENSE,0
897,DENSE,0
898,DENSE,0
899,DENSE,0
900,DENSE,0
901,ARGILLIT,0
902,ARGILLIT,0
903,ARGILLIT,0
904,ARGILLIT,0
905,ARGILLIT,0
906,ARGILLIT,0
907,ARGILLIT,0
908,ARGILLIT,0
909,ARGILLIT,0
910,ARGILLIT,0
911,ARGILLIT,0
912,ARGILLIT,0
913,ARGILLIT,0
914,ARGILLIT,0
915,ARGILLIT,0
916,ARGILLIT,0
917,ARGILLIT,0
918,ARGILLIT,0
919,ARGILLIT,0
920,ARGILLIT,0
921,ARGILLIT,0
922,ARGILLIT,0
923,ARGILLIT,0
924,ARGILLIT,0
925,ARGILLIT,0
926,ARGILLIT,0
927,ARGILLIT,0
928,ARGILLIT,0
929,ARGILLIT,0
930,ARGILLIT,0
931,ARGILLIT,0
932,ARGILLIT,0
933,ARGILLIT,0
934,ARGILLIT,0
935,ARGILLIT,0
936,ARGILLIT,0
937,ARGILLIT,0
938,ARGILLIT,0
939,ARGILLIT,0
940,ARGILLIT,0
941,ARGILLIT,0
942,ARGILLIT,0
943,ARGILLIT,0
944,ARGILLIT,0
945,ARGILLIT,0
946,ARGILLIT,0
947,ARGILLIT,0
948,ARGILLIT,0
949,ARGILLIT,0
950,ARGILLIT,0
951,ARGILLIT,0
952,ARGILLIT,0
953,ARGILLIT,0
954,ARGILLIT,0
955,ARGILLIT,0
956,ARGILLIT,0
957,ARGILLIT,0
958,ARGILLIT,0
959,ARGILLIT,0
960,ARGILLIT,0
961,ARGILLIT,0
962,ARGILLIT,0
963,ARGILLIT,0
964,ARGILLIT,0
965,ARGILLIT,0
966,ARGILLIT,0
967,ARGILLIT,0
968,ARGILLIT,0
969,ARGILLIT,0
970,ARGILLIT,0
971,ARGILLIT,0
972,ARGILLIT,0
973,ARGILLIT,0
974,ARGILLIT,0
975,ARGILLIT,0
976,ARGILLIT,0
977,ARGILLIT,0
978,ARGILLIT,0
979,ARGILLIT,0
980,ARGILLIT,0
981,ARGILLIT,0
982,ARGILLIT,0
983,ARGILLIT,0
984,ARGILLIT,0
985,ARGILLIT,0
986,ARGILLIT,0
987,ARGILLIT,0
988,ARGILLIT,0
989,ARGILLIT,0
990,ARGILLIT,0
991,ARGILLIT,0
992,ARGILLIT,0
993,ARGILLIT,0
994,ARGILLIT,0
995,ARGILLIT,0
996,ARGILLIT,0
997,ARGILLIT,0
998,ARGILLIT,0
999,ARGILLIT,0
1000,ARGILLIT,0
1001,ARGILLIT,0
1002,ARGILLIT,0
1003,ARGILLIT,0
1004,ARGILLIT,0
1005,ARGILLIT,0
1006,ARGILLIT,0
1007,ARGILLIT,0
1008,ARGILLIT,0
1009,ARGILLIT,0
1010,ARGILLIT,0
1011,ARGILLIT,0
1012,ARGILLIT,0
1013,ARGILLIT,0
1014,ARGILLIT,0
1015,ARGILLIT,0
1016,ARGILLIT,0
1017,ARGILLIT,0
1018,ARGILLIT,0
1019,ARGILLIT,0
1020,ARGILLIT,0
1021,ARGILLIT,0
1022,ARGILLIT,0
1023,ARGILLIT,0
1024,ARGILLIT,0
1025,ARGILLIT,0
1026,ARGILLIT,0
1027,ARGILLIT,0
1028,ARGILLIT,0
1029,ARGILLIT,0
1030,ARGILLIT,0
1031,ARGILLIT,0
1032,ARGILLIT,0
1033,ARGILLIT,0
1034,ARGILLIT,0
1035,ARGILLIT,0
1036,ARGILLIT,0
1037,ARGILLIT,0
1038,ARGILLIT,0
1039,ARGILLIT,0
1040,ARGILLIT,0
1041,ARGILLIT,0
1042,ARGILLIT,0
1043,ARGILLIT,0
1044,ARGILLIT,0
1045,ARGILLIT,0
1046,SAND,1
1047,ARGILLIT,0
1048,ALEVROLIT,0
1049,ALEVROLIT,0
1050,ALEVROLIT,0
1051,ALEVROLIT,0
1052,ALEVROLIT,0
1053,ALEVROLIT,0
1054,ALEVROLIT,0
1055,ALEVROLIT,0
1056,ALEVROLIT,0
1057,ALEVROLIT,0
1058,ALEVROLIT,0
1059,ALEVROLIT,0
1060,ALEVROLIT,0
1061,DENSE,0
1062,DENSE,0
1063,DENSE,0
1064,ARGILLIT,0
1065,DENSE,0
1066,DENSE,0
1067,DENSE,0
1068,ALEVROLIT,0
1069,ALEVROLIT,0
1070,ALEVROLIT,0
1071,ALEVROLIT,0
1072,ARGILLIT,0
1073,ARGILLIT,0
1074,SAND,1
1075,SAND,1
1076,SAND,1
1077,SAND,1
1078,SAND,1
1079,SAND,1
1080,SAND,1
1081,SAND,1
1082,SAND,1
1083,SAND,1
1084,SAND,1
1085,SAND,1
1086,SAND,1
1087,SAND,1
1088,ARGILLIT,0
1089,ARGILLIT,0
1090,ARGILLIT,0
1091,ARGILLIT,0
1092,SAND,1
1093,SAND,1
1094,SAND,1
1095,SAND,1
1096,SAND,1
1097,SAND,1
1098,SAND,1
1099,SAND,1
1100,SAND,1
1101,SAND,1
1102,SAND,1
1103,SAND,1
1104,SAND,1
1105,SAND,1
1106,SAND,1
1107,SAND,1
1108,SAND,1
1109,SAND,1
1110,SAND,1
1111,SAND,1
1112,SAND,1
1113,SAND,1
1114,SAND,1
1115,SAND,1
1116,SAND,1
1117,SAND,1
1118,SAND,1
1119,SAND,1
1120,SAND,1
1121,SAND,1
1122,SAND,1
1123,SAND,1
1124,SAND,1
1125,SAND,1
1126,SAND,1
1127,SAND,1
1128,SAND,1
1129,SAND,1
1130,SAND,1
1131,SAND,1
1132,SAND,1
1133,SAND,1
1134,SAND,1
1135,SAND,1
1136,SAND,1
1137,SAND,1
1138,SAND,1
1139,ARGILLIT,0
1140,ALEVROLIT,0
1141,SAND,1
1142,SAND,1
1143,ARGILLIT,0
1144,ARGILLIT,0
1145,ARGILLIT,0
1146,ALEVROLIT,0
1147,ALEVROLIT,0
1148,ALEVROLIT,0
1149,ALEVROLIT,0
1150,ALEVROLIT,0
1151,ARGILLIT,0
1152,SAND,1
1153,SAND,1
1154,SAND,1
1155,SAND,1
1156,SAND,1
1157,SAND,1
1158,SAND,1
1159,SAND,1
1160,SAND,1
1161,SAND,1
1162,SAND,1
1163,SAND,1
1164,SAND,1
1165,SAND,1
1166,SAND,1
1167,SAND,1
1168,SAND,1
1169,SAND,1
1170,SAND,1
1171,SAND,1
1172,SAND,1
1173,SAND,1
1174,SAND,1
1175,SAND,1
1176,SAND,1
1177,SAND,1
1178,SAND,1
1179,SAND,1
1180,SAND,1
1181,SAND,1
1182,SAND,1
1183,SAND,1
1184,SAND,1
1185,SAND,1
1186,SAND,1
1187,SAND,1
1188,SAND,1
1189,SAND,1
1190,SAND,1
1191,SAND,1
1192,DENSE,0
1193,DENSE,0
1194,DENSE,0
1195,DENSE,0
1196,DENSE,0
1197,DENSE,0
1198,DENSE,0
1199,DENSE,0
1200,DENSE,0
1201,DENSE,0
1202,DENSE,0
1203,DENSE,0
1204,DENSE,0
1205,DENSE,0
1206,DENSE,0
1207,DENSE,0
1208,DENSE,0
1209,DENSE,0
1210,SAND,1
1211,SAND,1
1212,SAND,1
1213,SAND,1
1214,SAND,1
1215,SAND,1
1216,SAND,1
1217,SAND,1
1218,SAND,1
1219,SAND,1
1220,SAND,1
1221,SAND,1
1222,SAND,1
1223,SAND,1
1224,SAND,1
1225,SAND,1
1226,SAND,1
1227,SAND,1
1228,SAND,1
1229,SAND,1
1230,SAND,1
1231,SAND,1
1232,SAND,1
1233,SAND,1
1234,SAND,1
1235,SAND,1
1236,SAND,1
1237,SAND,1
1238,SAND,1
1239,SAND,1
1240,SAND,1
1241,SAND,1
1242,SAND,1
1243,SAND,1
1244,SAND,1
1245,SAND,1
1246,SAND,1
1247,SAND,1
1248,SAND,1
1249,SAND,1
1250,SAND,1
1251,SAND,1
1252,SAND,1
1253,SAND,1
1254,SAND,1
